year,grid_x,grid_y,retail_count
2019.0,-1000,5000,6
2019.0,-1000,5250,37
2019.0,-1000,5500,10
2019.0,-1000,5750,6
2019.0,-1000,6000,26
2019.0,-1000,6250,9
2019.0,-1000,6500,2
2019.0,-750,-3000,5
2019.0,-750,-2750,1
2019.0,-750,-2250,7
2019.0,-750,-2000,10
2019.0,-750,-1500,1
2019.0,-750,-1000,1
2019.0,-750,-500,1
2019.0,-750,250,2
2019.0,-750,500,11
2019.0,-750,750,1
2019.0,-750,1250,1
2019.0,-750,1500,3
2019.0,-750,1750,62
2019.0,-750,2000,4
2019.0,-750,2250,6
2019.0,-750,2500,7
2019.0,-750,4000,18
2019.0,-750,4250,9
2019.0,-750,5250,2
2019.0,-750,6000,18
2019.0,-750,6250,82
2019.0,-750,6500,12
2019.0,-500,-2750,1
2019.0,-500,-1750,4
2019.0,-500,-1500,5
2019.0,-500,-1250,10
2019.0,-500,-1000,4
2019.0,-500,-250,14
2019.0,-500,0,4
2019.0,-500,500,11
2019.0,-500,750,1
2019.0,-500,1000,3
2019.0,-500,1250,3
2019.0,-500,1750,10
2019.0,-500,2000,38
2019.0,-500,2250,30
2019.0,-500,2500,8
2019.0,-500,4000,9
2019.0,-500,4250,1
2019.0,-500,5250,1
2019.0,-500,6250,7
2019.0,-500,6500,23
2019.0,-500,6750,14
2019.0,-500,7000,21
2019.0,-250,-3250,1
2019.0,-250,-3000,43
2019.0,-250,-1250,1
2019.0,-250,-1000,7
2019.0,-250,-250,8
2019.0,-250,0,1
2019.0,-250,500,4
2019.0,-250,750,4
2019.0,-250,1000,7
2019.0,-250,1250,2
2019.0,-250,1500,2
2019.0,-250,1750,3
2019.0,-250,2000,45
2019.0,-250,2250,12
2019.0,-250,2500,24
2019.0,-250,2750,12
2019.0,-250,3000,8
2019.0,-250,3750,22
2019.0,-250,6000,5
2019.0,-250,6500,16
2019.0,-250,6750,2
2019.0,-250,7000,1
2019.0,0,-3250,18
2019.0,0,-3000,32
2019.0,0,-2750,2
2019.0,0,-1750,17
2019.0,0,-1500,25
2019.0,0,-1250,23
2019.0,0,-1000,27
2019.0,0,-500,4
2019.0,0,-250,6
2019.0,0,250,25
2019.0,0,500,29
2019.0,0,750,9
2019.0,0,1000,9
2019.0,0,1500,7
2019.0,0,1750,2
2019.0,0,2250,3
2019.0,0,2500,40
2019.0,0,3250,17
2019.0,0,4250,6
2019.0,0,5750,6
2019.0,0,6500,20
2019.0,0,6750,3
2019.0,0,7250,2
2019.0,250,-3000,17
2019.0,250,-2750,28
2019.0,250,-1250,14
2019.0,250,-1000,3
2019.0,250,-500,1
2019.0,250,-250,1
2019.0,250,250,1
2019.0,250,500,62
2019.0,250,750,2
2019.0,250,2500,8
2019.0,250,3250,6
2019.0,250,3500,5
2019.0,250,4500,1
2019.0,250,5000,2
2019.0,250,5250,2
2019.0,250,5500,3
2019.0,250,6000,3
2019.0,250,6250,1
2019.0,250,6750,7
2019.0,500,-3500,15
2019.0,500,-1250,22
2019.0,500,-1000,6
2019.0,500,-750,1
2019.0,500,750,14
2019.0,500,1750,34
2019.0,500,2000,12
2019.0,500,2750,1
2019.0,500,3000,1
2019.0,500,3500,2
2019.0,500,4000,2
2019.0,500,4500,1
2019.0,500,5000,9
2019.0,500,6000,1
2019.0,500,6750,28
2019.0,750,-4250,1
2019.0,750,-3750,13
2019.0,750,-1250,4
2019.0,750,-1000,46
2019.0,750,-750,2
2019.0,750,0,12
2019.0,750,500,1
2019.0,750,750,33
2019.0,750,1750,26
2019.0,750,2000,3
2019.0,750,3000,3
2019.0,750,3250,4
2019.0,750,3750,1
2019.0,750,4750,8
