city,window,cluster_id,n_records,n_unique_uarn,centroid_lon,centroid_lat,centroid_x_m,centroid_y_m,median_lon,median_lat,median_x_m,median_y_m,high_street_share,occupied_share,median_rateable_value,median_floor_area,dominant_subgroup,dominant_subgroup_share
Liverpool,2025,1,274,274,-2.9030493832116786,53.358967912408765,3130.558777338395,-5191.962942335943,-2.90134,53.358228,3243.997707432931,-5273.752860000515,1.0,0.6058394160583942,5400.0,60.29,RETAIL_HIGH_STREET,1.0
Liverpool,2025,2,1041,1041,-2.871133593659943,53.34749624495678,5248.5701133191,-6460.041062478307,-2.872634,53.346932,5148.999409242735,-6522.412699999899,1.0,0.7012487992315082,310.0,6.97,RETAIL_HIGH_STREET,1.0
Liverpool,2025,3,408,408,-2.96960818872549,53.44241291666667,-1286.4494360748224,4032.047828333112,-2.970053,53.442146,-1315.968220821058,4002.542859999944,1.0,0.6151960784313726,3900.0,59.35,RETAIL_HIGH_STREET,1.0
Liverpool,2025,4,310,310,-2.9592278709677418,53.46449352580645,-597.5856795835947,6472.838362644961,-2.959439,53.463591,-611.5967283452934,6373.073159999937,1.0,0.6580645161290323,4050.0,61.6,RETAIL_HIGH_STREET,1.0
Liverpool,2025,5,120,120,-2.9093380666666677,53.4324408,2713.2260704515056,2929.730051999757,-2.910593,53.4323485,2629.9455668753244,2919.5272099998074,1.0,0.7833333333333333,6900.0,62.85,RETAIL_HIGH_STREET,1.0
Liverpool,2025,6,372,372,-2.912931543010753,53.41584464784947,2474.754024506503,1095.1913932794014,-2.914166,53.415358,2392.8323821555387,1041.3973399995718,1.0,0.6155913978494624,5700.0,61.0,RETAIL_HIGH_STREET,1.0
Liverpool,2025,7,169,169,-2.945102662721893,53.41215268047336,339.7983428075218,687.0813195263981,-2.946426,53.412241,251.97838297816332,696.8441600000097,1.0,0.7455621301775148,4100.0,59.9,RETAIL_HIGH_STREET,1.0
Liverpool,2025,8,266,266,-2.9548262556390976,53.42634970676691,-305.48351655915764,2256.4206060149054,-2.954837,53.425713,-306.1965391259931,2186.039040000026,1.0,0.6541353383458647,3900.0,65.19999999999999,RETAIL_HIGH_STREET,1.0
Liverpool,2025,9,196,196,-2.9346482091836736,53.42646121938775,1033.581934453902,2268.747211122246,-2.934315,53.424672,1055.6945263147345,2070.966899999552,1.0,0.6377551020408163,4400.0,53.85,RETAIL_HIGH_STREET,1.0
Liverpool,2025,10,97,97,-2.9645648350515463,53.38596302061856,-951.759917099981,-2207.92368082486,-2.963965,53.384163,-911.9533681554692,-2406.8979600000694,1.0,0.6288659793814433,4725.0,51.0,RETAIL_HIGH_STREET,1.0
Liverpool,2025,11,106,106,-2.949547386792453,53.38006752830189,44.83537623291945,-2859.611401509504,-2.949808,53.380328,27.54043427334905,-2830.818860000318,1.0,0.8207547169811321,8200.0,56.25,RETAIL_HIGH_STREET,1.0
Liverpool,2025,12,136,136,-2.9478933014705886,53.395868625000006,154.60460054458878,-1112.9581725001428,-2.949183,53.395845,69.0169919139435,-1115.5696800000237,1.0,0.5441176470588235,4500.0,53.175,RETAIL_HIGH_STREET,1.0
Liverpool,2025,13,124,124,-2.981506975806452,53.39323791129033,-2076.0826012216307,-1403.7572659678976,-2.979478,53.393233,-1941.434710041333,-1404.3001599999318,1.0,0.032258064516129,2750.0,38.4,RETAIL_HIGH_STREET,1.0
Liverpool,2025,14,179,179,-2.912255027932961,53.387661284916206,2519.6492510965354,-2020.1975453632456,-2.912403,53.388063,2509.829455948148,-1975.791959999896,1.0,0.7374301675977654,17500.0,96.665,RETAIL_HIGH_STREET,1.0
Liverpool,2025,15,99,99,-2.9241921818181824,53.39940009090909,1727.4699692003549,-722.5899309091947,-2.924157,53.399633,1729.8047223359,-696.8441600000097,1.0,0.6060606060606061,5800.0,61.1,RETAIL_HIGH_STREET,1.0
Liverpool,2025,16,141,141,-2.9331521631205675,53.393570624113465,1132.86327968497,-1366.9791904965664,-2.932981,53.39187,1144.2220909428331,-1554.966180000472,1.0,0.723404255319149,6700.0,55.5,RETAIL_HIGH_STREET,1.0
Liverpool,2025,17,117,117,-2.974096512820513,53.40951557264959,-1584.30580893388,395.57542068365086,-2.972949,53.40943,-1508.1539983045404,386.1162199998738,1.0,0.5726495726495726,9150.0,100.2,RETAIL_HIGH_STREET,1.0
Liverpool,2025,18,1206,1206,-2.9846779892205637,53.40558806716418,-2286.5189542609096,-38.57103567181396,-2.984412,53.405899,-2268.8672466793064,-4.200520000390782,1.0,0.5207296849087893,12750.0,84.33,RETAIL_HIGH_STREET,1.0
